PostalCode,Locality,State,Comment,Category,Country
0200,AUSTRALIAN NATIONAL UNIVERSITY,ACT,PO BOXES,Post Office Boxes,Australia
0800,DARWIN CITY,NT,,Delivery Area,Australia
0801,DARWIN,NT,GPO BOXES,Post Office Boxes,Australia
0803,WAGAIT BEACH,NT,PO BOXES,Post Office Boxes,Australia
0804,PARAP,NT,PO BOXES,Post Office Boxes,Australia
0810,ALAWA,NT,,Delivery Area,Australia
0810,BRINKIN,NT,,Delivery Area,Australia
0810,CASUARINA,NT,,Delivery Area,Australia
0810,COCONUT GROVE,NT,,Delivery Area,Australia
0810,JINGILI,NT,,Delivery Area,Australia
0810,LEE POINT,NT,,Delivery Area,Australia
0810,LYONS,NT,,Delivery Area,Australia
0810,MILLNER,NT,,Delivery Area,Australia
0810,MOIL,NT,,Delivery Area,Australia
0810,MUIRHEAD,NT,,Delivery Area,Australia
0810,NAKARA,NT,,Delivery Area,Australia
0810,NIGHTCLIFF,NT,,Delivery Area,Australia
0810,RAPID CREEK,NT,,Delivery Area,Australia
0810,TIWI,NT,,Delivery Area,Australia
0810,WAGAMAN,NT,,Delivery Area,Australia
0810,WANGURI,NT,,Delivery Area,Australia
0811,CASUARINA,NT,PO BOXES,Post Office Boxes,Australia
0812,ANULA,NT,,Delivery Area,Australia
0812,BUFFALO CREEK,NT,,Delivery Area,Australia
0812,HOLMES,NT,,Delivery Area,Australia
0812,KARAMA,NT,,Delivery Area,Australia
0812,LEANYER,NT,,Delivery Area,Australia
0812,MALAK,NT,,Delivery Area,Australia
0812,MARRARA,NT,,Delivery Area,Australia
0812,WULAGI,NT,,Delivery Area,Australia
0813,KARAMA,NT,PO BOXES,Post Office Boxes,Australia
0814,NIGHTCLIFF,NT,PO BOXES,Post Office Boxes,Australia
0815,CHARLES DARWIN UNIVERSITY,NT,PO BOXES,Post Office Boxes,Australia
0820,BAYVIEW,NT,,Delivery Area,Australia
0820,CHARLES DARWIN,NT,,Delivery Area,Australia
